ds,pt,tr,kr,acc_tr_in1k
in1k,deit_base_patch16_224.fb_in1k,ats,0.25,73.89
in1k,deit_base_patch16_224.fb_in1k,ats,0.5,78.94
in1k,deit_base_patch16_224.fb_in1k,ats,0.7,80.78
in1k,deit_base_patch16_224.fb_in1k,dpcknn,0.25,69.4
in1k,deit_base_patch16_224.fb_in1k,dpcknn,0.5,75.87
in1k,deit_base_patch16_224.fb_in1k,dpcknn,0.7,79.06
in1k,deit_base_patch16_224.fb_in1k,dyvit,0.25,27.94
in1k,deit_base_patch16_224.fb_in1k,dyvit,0.5,74.58
in1k,deit_base_patch16_224.fb_in1k,dyvit,0.7,80.68
in1k,deit_base_patch16_224.fb_in1k,evit,0.25,75.26
in1k,deit_base_patch16_224.fb_in1k,evit,0.5,79.22
in1k,deit_base_patch16_224.fb_in1k,evit,0.7,80.99
in1k,deit_base_patch16_224.fb_in1k,patchmerger,0.25,58.78
in1k,deit_base_patch16_224.fb_in1k,patchmerger,0.5,70.63
in1k,deit_base_patch16_224.fb_in1k,patchmerger,0.7,74.52
in1k,deit_base_patch16_224.fb_in1k,sit,0.25,68.39
in1k,deit_base_patch16_224.fb_in1k,sit,0.5,75.53
in1k,deit_base_patch16_224.fb_in1k,sit,0.7,76.63
in1k,deit_base_patch16_224.fb_in1k,tome,0.25,
in1k,deit_base_patch16_224.fb_in1k,tome,0.5,78.89
in1k,deit_base_patch16_224.fb_in1k,tome,0.7,81.05
