Method,Backbone,R1,R3,R4,R5,R6,Cotton80,SoyLocal,SoyGene,SoyAgeing,SoyGlobal,Average,Std,FLOPs (10^9)
Alexnet,Alexnet,49.9,44.65,45.15,47.47,37.47,22.92,19.5,13.12,44.93,13.21,33.832,14.92363658,
VGG-16,VGG-16,72.32,72.53,74.95,71.11,61.31,39.33,39.33,63.54,70.44,45.17,61.003,14.31132345,
ResNet-50,ResNet-50,70,64.24,74.04,72.63,54.85,52.5,38.83,70.21,67.15,25.59,59.004,16.10745873,
SimCLR (FT),ResNet-50,53.64,45.66,45.35,50.4,35.86,51.67,37.33,62.68,64.73,42.54,48.986,9.66235559,
SimCLR (L),ResNet-50,70,66.57,64.24,63.88,54.44,41.25,29.17,29.62,46.18,13.48,47.883,19.20356509,
MoCo v2,ResNet-50,42.93,38.59,38.99,38.99,31.82,45,32.67,56.49,59.13,29.26,41.387,9.956803425,
MoCo v2 (L),ResNet-50,62.75,56.16,51.46,56.94,49.49,30.42,27.67,26.58,38.26,12.99,41.272,16.42272464,
BYOL (FT),ResNet-50,55.35,48.38,50.4,49.6,43.94,52.92,33.17,60.65,64.75,41.35,50.051,9.224648683,
BYOL (L),ResNet-50,71.11,66.16,65.76,64.65,56.06,47.92,25.5,35.13,49.53,18.44,50.026,18.343762,
Cutout (16),ResNet-50,70.2,61.92,62.32,69.7,54.24,55.83,37.67,61.12,65.7,47.06,58.576,10.20514271,
Cutout (8),ResNet-50,66.87,64.04,67.78,73.43,56.36,54.58,31.67,62.46,63.68,44.65,58.552,12.40016201,
ADL (0.25),ResNet-50,53.54,54.34,55.15,52.83,41.9,43.75,33.67,55.19,61.7,39.35,49.142,8.863952968,
ADL (0.5),ResNet-50,66.67,58.89,64.75,68.48,49.7,40.83,28,52.18,51.56,29.5,51.056,14.53141211,
Cutmix,ResNet-50,65.56,59.19,64.24,68.79,53.64,45,26.33,66.39,62.68,30.31,54.213,15.34979844,
DCL,ResNet-50,76.87,73.84,76.16,76.16,62.93,53.75,45.33,71.41,73.19,42.21,65.185,13.38778901,
MaskCOV,ResNet-50,79.8,74.65,79.6,78.28,66.97,58.75,46.17,73.57,75.86,50.28,68.393,12.43709331,
ViT,ViT-B,69.29,64.55,70.4,71.01,59.49,52.5,38.83,53.63,66.95,40.57,58.722,11.97746569,78.5096
DeiT,ViT-B,73.03,70.4,69.09,74.65,60.51,54.17,38.67,66.8,69.54,45.34,62.22,12.32563994,78.5096
TransFG,ViT-B,74.95,74.55,74.24,76.26,62.61,54.58,40.67,22.38,72.16,21.24,57.364,21.87893518,447.8613
SIM-Trans,ViT-B,69.9,73.23,73.13,73.94,63.23,54.58,25,15.46,34.76,70.69,55.392,22.17952349,81.8045
Hybrid ViT,ViT-B&ResNet-50,77.17,76.97,74.75,76.36,62.53,50.83,37,71.74,73.56,18.82,61.973,20.18266035,
Mix-ViT,ViT-B&ResNet-50,79.29,77.17,77.98,79.19,67.88,60.42,56.17,79.94,76.3,51,70.534,10.90377733,
CLE-ViT,Swin-B,80.81,83.33,84.24,86.36,75.96,63.33,47.17,78.5,82.14,75.21,75.705,11.96056042,
CSDNet,ResNet-50,81.92,77.47,81.82,79.7,69.19,61.67,48.17,66.52,78.02,51.05,69.553,12.52472581,
CSDNet,ViT-B,75.15,76.57,77.27,78.18,69.8,57.92,46.17,70.82,75.39,56.3,68.357,11.02375218,78.5096
CSDNet,Swin-B,83.84,85.15,85.15,84.85,76.87,67.92,60.5,86.86,83.17,76.19,79.05,8.75522701,
