host,serial,model,dataset_name,keep_rate,keep_rate_single,reduction_loc,ifa_head,clc,num_clr,ifa_dws_conv_groups,lasso_loss_weight,seed,lr,epochs,input_size,batch_size,num_images_train,num_images_val,test_acc,val_test_loss,train_acc1,train_loss,time_total,max_memory,flops,no_params,throughput
buyatti,0,sit_vit_base_patch16_224.in1k_mocov3,soylocal,[0.7],0.7,"[3, 6, 9]",,False,0,,,1,0.0001,45,224,32,400,200,3.5000001525878908,5.078053760528564,,4.851053436597188,4.18,5.26,,86.96,
buyatti,0,ats_vit_base_patch16_224_miil.in21k,soylocal,[0.5],0.5,"[3, 6, 9]",,False,0,,,1,0.0005,45,224,32,400,200,7.500000114440918,5.7443266868591305,,0.08839413772026698,5.66,4.61,,85.92,
camel.ee.nctu.edu.tw,0,ats_vit_base_patch16_clip_224.laion2b,aircraft,[0.25],0.25,"[3, 6, 9]",,False,0,,,1,0.0005,45,224,32,5267,1400,9.28571478162493,5.803110241889954,,0.2900193271840491,185.08,4.08,,85.88,
buyatti,0,ats_vit_base_patch16_224.mae,soylocal,[0.5],0.5,"[3, 6, 9]",,False,0,,,1,0.0001,45,224,32,400,200,2.5000001907348635,4.958205604553223,,3.0241151253382363,2.09,4.65,,85.95,
vsplab,0,dpcknn_deit3_base_patch16_224.fb_in1k,aircraft,[0.25],0.25,"[3, 6, 9]",,False,0,,,1,0.0005,45,224,32,5267,1400,,,,4.65219802100484,,,,,
vsplab,0,dyvit_vit_base_patch16_224.in1k_mocov3,aircraft,[0.25],0.25,"[3, 6, 9]",,False,0,,,1,0.0005,45,224,32,5267,1400,,,,4.67847784554086,,,,,
buyatti,0,ats_vit_base_patch16_224.mae,soylocal,[0.5],0.5,"[3, 6, 9]",,False,0,,,1,0.0005,45,224,32,400,200,2.5000001907348635,5.03501443862915,,2.830851753552755,2.13,4.65,,85.95,
vsplab,0,dpcknn_deit3_base_patch16_224.fb_in22k_ft_in1k,aircraft,[0.25],0.25,"[3, 6, 9]",,False,0,,,1,0.0001,45,224,32,5267,1400,,,,3.119155936124848,,,,,
camel.ee.nctu.edu.tw,0,tome_vit_base_patch16_224.in1k_mocov3,aircraft,[0.5],0.5,"[3, 6, 9]",,False,0,,,1,0.0005,45,224,32,5267,1400,10.785714601789202,4.382980569203695,,1.7940703761286851,185.0,4.75,,85.88,
buyatti,0,ats_deit_base_patch16_224.fb_in1k,soylocal,[0.5],0.5,"[3, 6, 9]",,False,0,,,1,0.0001,45,224,32,400,200,8.000000495910644,4.480157470703125,,0.04426492750644684,2.15,4.65,,85.95,
vsplab,0,dyvit_deit_base_patch16_224.fb_in1k,aircraft,[0.25],0.25,"[3, 6, 9]",,False,0,,,1,0.0001,45,224,32,5267,1400,55.07143083844866,1.8064243952433268,,0.03025775271036276,41.52,8.48,,88.76,
buyatti,0,ats_deit_base_patch16_224.fb_in1k,soylocal,[0.5],0.5,"[3, 6, 9]",,False,0,,,1,0.0005,45,224,32,400,200,7.000000152587891,5.387924098968506,,0.019048355364551146,2.17,4.65,,85.95,
vsplab,0,dpcknn_deit3_base_patch16_224.fb_in22k_ft_in1k,aircraft,[0.25],0.25,"[3, 6, 9]",,False,0,,,1,0.0005,45,224,32,5267,1400,,,,4.723340522952196,,,,,
buyatti,0,ats_deit3_base_patch16_224.fb_in1k,soylocal,[0.5],0.5,"[3, 6, 9]",,False,0,,,1,0.0001,45,224,32,400,200,7.000000495910644,5.479993534088135,,0.009181132462496558,5.94,4.87,,85.97,
vsplab,0,dpcknn_vit_base_patch16_224.orig_in21k,soygene,[0.25],0.25,"[3, 6, 9]",,False,0,,,1,0.0001,45,224,32,9562,3201,14.58919131878725,5.786523078804586,,0.004493860229412281,30.26,3.83,,86.65,
buyatti,0,ats_deit3_base_patch16_224.fb_in1k,soylocal,[0.5],0.5,"[3, 6, 9]",,False,0,,,1,0.0005,45,224,32,400,200,3.5000001525878908,6.8797098159790036,,2.0562685628732047,4.8,4.87,,85.97,
buyatti,0,ats_deit3_base_patch16_224.fb_in22k_ft_in1k,soylocal,[0.5],0.5,"[3, 6, 9]",,False,0,,,1,0.0001,45,224,32,400,200,7.0000001907348635,6.492812824249268,,0.0031485867802985013,2.02,4.83,,85.97,
buyatti,0,ats_deit3_base_patch16_224.fb_in22k_ft_in1k,soylocal,[0.5],0.5,"[3, 6, 9]",,False,0,,,1,0.0005,45,224,32,400,200,5.000000152587891,9.792407608032226,,0.21242091804742813,2.07,4.83,,85.97,
buyatti,0,ats_vit_base_patch16_224.dino,cub,[0.25],0.25,"[3, 6, 9]",,False,0,,,1,0.0001,45,224,32,4794,1200,68.91666900634766,1.5159586668014526,,0.0003472346355517445,18.55,4.06,,85.95,
buyatti,0,ats_vit_base_patch16_224.dino,cub,[0.25],0.25,"[3, 6, 9]",,False,0,,,1,0.0005,45,224,32,4794,1200,38.00000114440918,4.089192590713501,,0.0010987346176989377,22.25,4.06,,85.95,
vsplab,0,dpcknn_vit_base_patch16_224.orig_in21k,soygene,[0.25],0.25,"[3, 6, 9]",,False,0,,,1,0.0005,45,224,32,9562,3201,,,,6.142806389187807,,,,,
vsplab,0,dyvit_deit_base_patch16_224.fb_in1k,aircraft,[0.25],0.25,"[3, 6, 9]",,False,0,,,1,0.0005,45,224,32,5267,1400,,,,4.725802209319138,,,,,
vsplab,0,dpcknn_vit_base_patch16_224.dino,soygene,[0.25],0.25,"[3, 6, 9]",,False,0,,,1,0.0001,45,224,32,9562,3201,10.402999441759992,6.547474996367497,,0.0009086487167077326,30.74,3.83,,86.65,
vsplab,0,dyvit_deit3_base_patch16_224.fb_in1k,aircraft,[0.25],0.25,"[3, 6, 9]",,False,0,,,1,0.0001,45,224,32,5267,1400,65.00000222342355,1.4929360806941987,,0.013715211171429697,42.61,8.92,,88.78,
buyatti,0,ats_vit_base_patch16_224_miil.in21k,cub,[0.25],0.25,"[3, 6, 9]",,False,0,,,1,0.0001,45,224,32,4794,1200,70.58333572387696,1.2311825501918792,,0.0013414315716050965,18.58,3.97,,85.92,
vsplab,0,dpcknn_vit_base_patch16_224.dino,soygene,[0.25],0.25,"[3, 6, 9]",,False,0,,,1,0.0005,45,224,32,9562,3201,,,,5.742440452511679,,,,,
buyatti,0,ats_vit_base_patch16_224_miil.in21k,cub,[0.25],0.25,"[3, 6, 9]",,False,0,,,1,0.0005,45,224,32,4794,1200,65.00000259399414,1.7135864806175232,,0.0004771918494171532,19.03,3.97,,85.92,
vsplab,0,dpcknn_vit_base_patch16_224_miil.in21k,soygene,[0.25],0.25,"[3, 6, 9]",,False,0,,,1,0.0001,45,224,32,9562,3201,13.589503759296564,6.161776144113114,,0.00361599532642008,29.36,3.83,,86.63,
vsplab,0,dpcknn_deit3_base_patch16_224.fb_in1k,aircraft,[0.25],0.25,"[3, 6, 9]",,False,0,,,1,0.0001,45,224,32,5267,1400,,,,1.821144535047252,,,,,
buyatti,0,ats_vit_base_patch16_224_miil.in21k,soylocal,[0.5],0.5,"[3, 6, 9]",,False,0,,,1,0.0001,45,224,32,400,200,10.500000305175782,4.821484804153442,,0.0585228968411684,4.02,4.61,,85.92,
vsplab,0,dpcknn_deit_base_patch16_224.fb_in1k,aircraft,[0.25],0.25,"[3, 6, 9]",,False,0,,,1,0.0005,45,224,32,5267,1400,,,,1.619619542505683,,,,,
buyatti,0,ats_vit_base_patch16_224.dino,soylocal,[0.5],0.5,"[3, 6, 9]",,False,0,,,1,0.0005,45,224,32,400,200,3.5000002670288084,7.977936172485352,,1.554401805003484,5.36,4.65,,85.95,
camel.ee.nctu.edu.tw,0,ats_vit_base_patch16_clip_224.laion2b,aircraft,[0.25],0.25,"[3, 6, 9]",,False,0,,,1,0.0001,45,224,32,5267,1400,65.42857321602958,1.593146978815397,,0.0018208538018459476,184.86,4.08,,85.88,
camel.ee.nctu.edu.tw,0,tome_vit_base_patch16_224.in1k_mocov3,aircraft,[0.5],0.5,"[3, 6, 9]",,False,0,,,1,0.0001,45,224,32,5267,1400,79.78571629115514,0.7967895644173647,,0.004388470811735294,184.89,4.75,,85.88,
vsplab,0,dpcknn_vit_base_patch16_224.orig_in21k,aircraft,[0.25],0.25,"[3, 6, 9]",,False,0,,,1,0.0005,45,224,32,5267,1400,,,,4.031683994502556,,,,,
buyatti,0,ats_deit3_base_patch16_224.fb_in1k,soygene,[0.5],0.5,"[3, 6, 9]",,False,0,,,1,0.0005,45,224,32,9562,3201,5.3733211023961704,10.819408829532453,,0.07911834184505395,54.02,4.86,,86.67,
vsplab,0,dyvit_vit_base_patch16_224.orig_in21k,aircraft,[0.25],0.25,"[3, 6, 9]",,False,0,,,1,0.0005,45,224,32,5267,1400,,,,4.57538946663461,,,,,
