host,serial,model,dataset_name,keep_rate,keep_rate_single,reduction_loc,ifa_head,clc,num_clr,ifa_dws_conv_groups,lasso_loss_weight,seed,lr,epochs,input_size,batch_size,num_images_train,num_images_val,test_acc,val_test_loss,train_acc1,train_loss,time_total,max_memory,flops,no_params,throughput
vsplab,1,tome_vit_base_patch16_clip_224.laion2b,aircraft,[0.7],0.7,"[3, 6, 9]",,False,0,,,1,0.0001,45,224,32,6667,3333,58.8958913423691,1.922495658057077,,0.004644558869096307,33.3,5.44,,85.88,
,1,sit_deit_base_patch16_224.fb_in1k,cub,[0.5],0.5,"[3, 6, 9]",,False,0,,,10,0.0005,45,224,32,5994,5794,60.459097499142935,1.9624977784215911,,0.0013468414596418904,43.09,4.69,,86.91,
,1,sit_deit_base_patch16_224.fb_in1k,aircraft,[0.25],0.25,"[3, 6, 9]",,False,0,,,1,0.0005,45,224,32,6667,3333,61.89619107937405,1.9112501710653305,,0.018498057714448526,21.51,3.82,,86.79,
,1,deit3_base_patch16_224.fb_in22k_ft_in1k,soygene,[],,"[3, 6, 9]",,False,0,,,10,0.0001,45,224,32,12763,11143,36.085436045155326,3.607637987116376,,0.00015108275779746134,78.26,7.13,,86.67,
,1,sit_vit_base_patch16_224.dino,aircraft,[0.25],0.25,"[3, 6, 9]",,False,0,,,100,0.0001,45,224,32,6667,3333,56.37563931716658,2.3229146344321117,,0.0006208666581747261,22.72,3.82,,86.79,
,1,sit_deit_base_patch16_224.fb_in1k,cub,[0.5],0.5,"[3, 6, 9]",,False,0,,,1,0.0005,45,224,32,5994,5794,60.57991217184281,1.9851716094273184,,0.0012985031891808432,43.1,4.69,,86.91,
,1,patchmerger_vit_base_patch16_224_miil.in21k,soygene,[0.5],0.5,"[3, 6, 9]",,False,0,,,10,0.0001,45,224,32,12763,11143,6.030692152475034,5.24106756914327,,3.2196929358956803,46.21,4.44,,86.76,
,1,sit_vit_base_patch16_224.dino,aircraft,[0.25],0.25,"[3, 6, 9]",,False,0,,,10,0.0001,45,224,32,6667,3333,55.6255639159497,2.353798272354262,,0.0005891212424383132,23.31,3.82,,86.79,
,1,sit_vit_base_patch16_224.dino,aircraft,[0.25],0.25,"[3, 6, 9]",,False,0,,,1,0.0001,45,224,32,6667,3333,57.245726069494154,2.30660389150892,,0.006882398368851192,22.43,3.82,,86.79,
,1,sit_vit_base_patch16_224.dino,cub,[0.5],0.5,"[3, 6, 9]",,False,0,,,100,0.0001,45,224,32,5994,5794,45.40904518024733,2.757795589029296,,0.00018356738136278183,43.05,4.69,,86.91,
,1,patchmerger_vit_base_patch16_224_miil.in21k,soygene,[0.5],0.5,"[3, 6, 9]",,False,0,,,1,0.0001,45,224,32,12763,11143,8.103742559604667,5.098024334518694,,2.236892321301465,45.41,4.44,,86.76,
