host,serial,model,dataset_name,keep_rate,keep_rate_single,reduction_loc,ifa_head,clc,num_clr,ifa_dws_conv_groups,lasso_loss_weight,seed,lr,epochs,input_size,batch_size,num_images_train,num_images_val,test_acc,val_test_loss,train_acc1,train_loss,time_total,max_memory,flops,no_params,throughput
calvin,14,maws_vit_base_patch16_224.mae,soylocal,[0.5],0.5,"[3, 6, 9]",True,True,1,2,0,100,0.0001,45,224,32,600,600,41.83333450317383,2.6829927884615383,98.61111111111111,1.01846440633138,3.44,3.0723,9.2565,86.8873,
buyatti,14,glsf_vit_base_patch16_224.orig_in21k,aircraft,[0.25],0.25,"[3, 6, 9]",True,True,1,2,0,1,0.0001,45,224,32,6667,3333,70.71707371008708,1.2196602957589286,99.98497596153848,0.001418577847429193,13.53,3.1875,6.9625,86.7336,
calvin,14,maws_vit_base_patch16_clip_224.laion2b,soygene,[0.7],0.7,"[3, 6, 9]",True,True,1,2,0,10,0.0001,45,224,32,12763,11143,67.7824664320882,1.35178044527897,100.0,0.0008373935823913794,69.34,3.6855,12.0546,88.2868,
buyatti,14,glsf_vit_base_patch16_224.orig_in21k,soygene,[0.25],0.25,"[3, 6, 9]",True,True,1,2,0,100,0.0001,45,224,32,12763,11143,53.88136199380149,2.0863901555793993,100.0,0.00060561784173376,25.19,8.041,6.9641,88.286,
buyatti,14,glsf_vit_base_patch16_224.orig_in21k,soygene,[0.25],0.25,"[3, 6, 9]",True,True,1,2,0,10,0.0001,45,224,32,12763,11143,53.42367546350622,2.100812265289699,100.0,0.001001299195103909,25.33,8.041,6.9641,88.286,
calvin,14,maws_vit_base_patch16_clip_224.laion2b,soygene,[0.7],0.7,"[3, 6, 9]",True,True,1,2,0,1,0.0001,45,224,32,12763,11143,64.60558403033623,1.4838039414565452,99.96074120603016,0.003705172804207658,69.06,3.6855,12.0546,88.2868,
buyatti,14,glsf_vit_base_patch16_224.orig_in21k,soygene,[0.25],0.25,"[3, 6, 9]",True,True,1,2,0,1,0.0001,45,224,32,12763,11143,54.26725460012437,2.062548199436695,100.0,0.0006314855087642095,25.27,8.041,6.9641,88.286,
buyatti,14,glsf_vit_base_patch16_224.orig_in21k,soylocal,[0.25],0.25,"[3, 6, 9]",True,True,1,2,0,100,0.0001,45,224,32,600,600,44.00000152587891,2.475360576923077,100.0,0.10095029407077366,2.33,3.1367,6.9627,86.8873,
calvin,14,maws_vit_base_patch16_clip_224.laion2b,soylocal,[0.7],0.7,"[3, 6, 9]",True,True,1,2,0,100,0.0001,45,224,32,600,600,52.00000152587891,2.265625,100.0,0.05111314190758599,4.01,3.6211,12.0532,86.8881,
buyatti,14,glsf_vit_base_patch16_224.orig_in21k,soylocal,[0.25],0.25,"[3, 6, 9]",True,True,1,2,0,10,0.0001,45,224,32,600,600,45.33333450317383,2.4574068509615383,100.0,0.10749369197421604,2.37,3.0273,6.9627,86.8873,
calvin,14,maws_vit_base_patch16_clip_224.laion2b,soylocal,[0.7],0.7,"[3, 6, 9]",True,True,1,2,0,10,0.0001,45,224,32,600,600,53.16666839599609,2.209660456730769,100.0,0.055977861086527504,3.97,3.6211,12.0532,86.8881,
buyatti,14,glsf_vit_base_patch16_224.orig_in21k,soylocal,[0.25],0.25,"[3, 6, 9]",True,True,1,2,0,1,0.0001,45,224,32,600,600,44.50000183105469,2.4361478365384617,100.0,0.10563866297403972,2.31,3.1367,6.9627,86.8873,
